source,target,model,normalization,threshold_policy,elapsed_sec,n_train,n_test,n_train_groups,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
campanella,nurse,xgb,global,source_tuned,9.77,1844,1720,26,0.5399999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.547093023255814,0.5273283183119248,0.49143696726572406,0.240620957309185,0.49206349206349204,0.32319721980886185,0.7972544878563886,0.5625931445603577,0.6596767147225863,0.5200600856338562
nurse,wesad,rf,per_subject,fixed_0.5,14.53,1720,919,11,0.5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.3634385201305767,0.48992734139282856,0.29086232481450947,0.5263157894736842,0.034071550255536626,0.064,0.3564131668558456,0.9457831325301205,0.517724649629019,0.42959658052995625
nurse,wesad,svm,per_subject,fixed_0.5,3.52,1720,919,11,0.5,"{'clf__C': 0.5, 'clf__gamma': 0.05}",0.352557127312296,0.4493519221690852,0.3183045036621474,0.46825396825396826,0.10051107325383304,0.16549789621318373,0.33417402269861285,0.7981927710843374,0.4711111111111111,0.35533958662589027
nurse,wesad,xgb,per_subject,fixed_0.5,5.87,1720,919,11,0.5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 400}",0.41240478781284007,0.49096642105047106,0.399445261975758,0.6192893401015228,0.20783645655877342,0.3112244897959184,0.3559556786703601,0.7740963855421686,0.4876660341555977,0.4551066275322756
nurse,wesad,rf,per_subject,source_tuned,16.94,1720,919,11,0.6799999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.4276387377584331,0.5159761704398514,0.4095157822730382,0.6783625730994152,0.19761499148211242,0.30606860158311344,0.37032085561497324,0.8343373493975904,0.512962962962963,0.42959658052995625
nurse,wesad,svm,per_subject,source_tuned,4.11,1720,919,11,0.74,"{'clf__C': 0.5, 'clf__gamma': 0.05}",0.3906420021762786,0.42551723076291537,0.3906066462051457,0.5415384615384615,0.29982964224872233,0.38596491228070173,0.30808080808080807,0.5512048192771084,0.3952483801295896,0.35533958662589027
nurse,wesad,xgb,per_subject,source_tuned,7.03,1720,919,11,0.3499999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 400}",0.3786724700761698,0.4776456764023727,0.34580146485896834,0.5634920634920635,0.12095400340715502,0.19915848527349228,0.3493064312736444,0.8343373493975904,0.49244444444444446,0.4551066275322756
nurse,wesad,rf,global,fixed_0.5,13.42,1720,919,11,0.5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.3906420021762786,0.517110178362513,0.3247895543380146,0.8,0.06132879045996593,0.11392405063291139,0.3695652173913043,0.9728915662650602,0.5356550580431177,0.4933858089940683
nurse,wesad,svm,global,fixed_0.5,2.75,1720,919,11,0.5,"{'clf__C': 4.0, 'clf__gamma': 0.05}",0.4134929270946681,0.5173333880667474,0.38052717738617364,0.7,0.14310051107325383,0.2376237623762376,0.3704630788485607,0.891566265060241,0.5234305923961097,0.49793723445742083
nurse,wesad,xgb,global,fixed_0.5,5.7,1720,919,11,0.5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.4439608269858542,0.5097801769257609,0.43881517703392736,0.6557377049180327,0.272572402044293,0.3850782190132371,0.3674074074074074,0.7469879518072289,0.4925521350546177,0.5175386383694915
