dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
nurse,rf,15,74,1646.0,74,0,0.6799999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8108108108108109,0.8108108108108109,0.44776119402985076,0.0,0.0,0.0,1.0,0.8108108108108109,0.8955223880597015,
nurse,rf,6B,202,1518.0,202,0,0.6399999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.6633663366336634,0.6633663366336634,0.39880952380952384,0.0,0.0,0.0,1.0,0.6633663366336634,0.7976190476190477,
nurse,rf,7A,286,1434.0,286,0,0.58,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.7692307692307693,0.7692307692307693,0.43478260869565216,0.0,0.0,0.0,1.0,0.7692307692307693,0.8695652173913043,
nurse,rf,7E,54,1666.0,54,0,0.69,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.9814814814814815,0.9814814814814815,0.4953271028037383,0.0,0.0,0.0,1.0,0.9814814814814815,0.9906542056074766,
nurse,rf,83,312,1408.0,208,104,0.4699999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.6057692307692307,0.4567307692307692,0.38475350701402805,0.047619047619047616,0.009615384615384616,0.016,0.6460481099656358,0.9038461538461539,0.7535070140280561,0.14628790680473375
nurse,rf,8B,80,1640.0,32,48,0.61,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.325,0.40625,0.24528301886792453,0.0,0.0,0.0,0.35135135135135137,0.8125,0.49056603773584906,0.11263020833333334
nurse,rf,94,98,1622.0,0,98,0.58,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
nurse,rf,BG,66,1654.0,66,0,0.6499999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,
nurse,rf,E4,384,1336.0,256,128,0.5499999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.5807291666666666,0.44140625,0.38402064423565513,0.07692307692307693,0.0234375,0.03592814371257485,0.6376811594202898,0.859375,0.7321131447587355,0.36761474609375
nurse,rf,EG,60,1660.0,60,0,0.71,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.8166666666666667,0.8166666666666667,0.44954128440366975,0.0,0.0,0.0,1.0,0.8166666666666667,0.8990825688073395,
